Lake Erie annual averages,,,,
1860,174.6884833,,"1860-1917, Cleveland levels translated to Buffalo ",
1861,174.7123167,,,Buff = -.001008382*year+2.153 + Cleveland
1862,174.7449833,,"1918-present, lakewide averages",
1863,174.6557333,,,
1864,174.4715667,,,
1865,174.36215,,,
1866,174.40315,,,
1867,174.4099833,,,
1868,174.2958833,,,
1869,174.42205,,,
1870,174.6121333,,,
1871,174.4342167,,,
1872,174.1417167,,,
1873,174.35455,,,
1874,174.5008,,,
1875,174.2888833,,,
1876,174.7122167,,,
1877,174.4547167,,,
1878,174.5778833,,,
1879,174.3408833,,,
1880,174.4167833,,,
1881,174.3663667,,,
1882,174.6357833,,,
1883,174.5797,,,
1884,174.6002,,,
1885,174.5711167,,,
1886,174.60245,,,
1887,174.58795,,,
1888,174.3760333,,,
1889,174.30195,,,
1890,174.5057833,,,
1891,174.2324333,,,
1892,174.2262667,,,
1893,174.2105167,,,
1894,174.2126833,,,
1895,173.92835,,,
1896,173.9960167,,,
1897,174.1674333,,,
1898,174.2204333,,,
1899,174.1566833,,,
1900,174.1561,,,
1901,173.9851,,,
1902,174.1236833,,,
1903,174.2863333,,,
1904,174.3325,,,
1905,174.2160833,,,
1906,174.2515,,,
1907,174.3988333,,,
1908,174.3815833,,,
1909,174.2159167,,,
1910,174.1370833,,,
1911,173.99975,,,
1912,174.16875,,,
1913,174.44725,,,
1914,174.2101667,,,
1915,174.0609,,,
1916,174.2513167,,,
1917,174.3750667,,,
1918,174.015,,,
1919,174.1808333,,,
1920,173.9083333,,,
1921,174.0258333,,,
1922,173.9275,,,
1923,173.7575,,,
1924,173.8433333,,,
1925,173.5933333,,,
1926,173.6408333,,,
1927,173.8183333,,,
1928,173.9516667,,,
1929,174.3116667,,,
1930,174.27,,,
1931,173.705,,,
1932,173.7358333,,,
1933,173.6766667,,,
1934,173.3316667,,,
1935,173.4108333,,,
1936,173.4883333,,,
1937,173.82,,,
1938,173.8408333,,,
1939,173.8458333,,,
1940,173.795,,,
1941,173.7,,,
1942,173.8766667,,,
1943,174.2316667,,,
1944,174.0916667,,,
1945,174.1883333,,,
1946,174.1358333,,,
1947,174.235,,,
1948,174.2208333,,,
1949,173.9733333,,,
1950,174.135,,,
1951,174.3241667,,,
1952,174.52,,,
1953,174.3308333,,,
1954,174.2883333,,,
1955,174.3483333,,,
1956,174.12,,,
1957,174.0366667,,,
1958,173.8083333,,,
1959,173.85,,,
1960,174.0941667,,,
1961,174.1008333,,,
1962,173.9075,,,
1963,173.7266667,,,
1964,173.6075,,,
1965,173.7125,,,
1966,173.8991667,,,
1967,174.0591667,,,
1968,174.2041667,,,
1969,174.39,,,
1970,174.2583333,,,
1971,174.3116667,,,
1972,174.5,,,
1973,174.7408333,,,
1974,174.6891667,,,
1975,174.6158333,,,
1976,174.5733333,,,
1977,174.2975,,,
1978,174.3725,,,
1979,174.3916667,,,
1980,174.5216667,,,
1981,174.3983333,,,
1982,174.425,,,
1983,174.5208333,,,
1984,174.5225,,,
1985,174.7283333,,,
1986,174.8983333,,,
1987,174.6675,,,
1988,174.2616667,,,
1989,174.2258333,,,
1990,174.2941667,,,
1991,174.3266667,,,
1992,174.3566667,,,
1993,174.5041667,,,
1994,174.3666667,,,
1995,174.2841667,,,
1996,174.375,,,
1997,174.7175,,,
1998,174.5508333,,,
1999,174.1025,,,
2000,173.99,,,
2001,173.9141667,,,
2002,174.0583333,,,
2003,173.9658333,,,
2004,174.1158333,,,
2005,174.17,,,
2006,174.1466667,,,
2007,174.1391667,,,
2008,174.1591667,,,
2009,174.2483333,,,
2010,174.0541667,,,
2011,174.2406667,,,
2012,174.1283333,,,
2013,174.06,,,
2014,174.21,,,
2015,174.32,,,
