Lake Superior annual averages,AnnAvg,,,
1860,183.3979281,,1860-1917 Marquette levels translated to Pt Iroquois,
1861,183.410761,,,PI = -.00108382*year+2.153 + Marquette
1862,183.3245938,,1918-2010 lakewide averages from Corps website,
1863,183.2085933,,,
1864,183.1491762,,,
1865,183.2284257,,,
1866,183.1930919,,,
1867,183.2720081,,,
1868,183.2242576,,,
1869,183.2833404,,,
1870,183.3519233,,,
1871,183.3527561,,,
1872,183.3989223,,,
1873,183.5691718,,,
1874,183.5642547,,,
1875,183.5882542,,,
1876,183.7084203,,,
1877,183.5155032,,,
1878,183.346336,,,
1879,183.2066689,,,
1880,183.3130017,,,
1881,183.4510846,,,
1882,183.4305008,,,
1883,183.3506669,,,
1884,183.3099165,,,
1885,183.3987493,,,
1886,183.2769988,,,
1887,183.2963317,,,
1888,183.4213312,,,
1889,183.3765807,,,
1890,183.3422469,,,
1891,183.2114964,,,
1892,183.2205792,,,
1893,183.3274121,,,
1894,183.5337449,,,
1895,183.5467444,,,
1896,183.5422439,,,
1897,183.5407435,,,
1898,183.4061596,,,
1899,183.5707425,,,
1900,183.5970753,,,
1901,183.5881582,,,
1902,183.5231577,,,
1903,183.5997405,,,
1904,183.5701567,,,
1905,183.5792396,,,
1906,183.5428025,,,
1907,183.5061553,,,
1908,183.4277381,,,
1909,183.326821,,,
1910,183.2800705,,,
1911,183.17557,,,
1912,183.3736528,,,
1913,183.442819,,,
1914,183.4583185,,,
1915,183.3649847,,,
1916,183.6739009,,,
1917,183.4852337,,,
1918,183.3283333,,,
1919,183.3975,,,
1920,183.43,,,
1921,183.3558333,,,
1922,183.3158333,,,
1923,183.2241667,,,
1924,183.13,,,
1925,183.0291667,,,
1926,182.9433333,,,
1927,183.3233333,,,
1928,183.4716667,,,
1929,183.4975,,,
1930,183.4391667,,,
1931,183.3258333,,,
1932,183.4258333,,,
1933,183.445,,,
1934,183.4975,,,
1935,183.51,,,
1936,183.4591667,,,
1937,183.4541667,,,
1938,183.5608333,,,
1939,183.555,,,
1940,183.3825,,,
1941,183.4416667,,,
1942,183.5433333,,,
1943,183.6075,,,
1944,183.5066667,,,
1945,183.5416667,,,
1946,183.5208333,,,
1947,183.55,,,
1948,183.3933333,,,
1949,183.4433333,,,
1950,183.6325,,,
1951,183.7008333,,,
1952,183.6258333,,,
1953,183.4808333,,,
1954,183.4108333,,,
1955,183.3433333,,,
1956,183.325,,,
1957,183.3166667,,,
1958,183.305,,,
1959,183.4,,,
1960,183.4158333,,,
1961,183.3116667,,,
1962,183.305,,,
1963,183.2966667,,,
1964,183.3416667,,,
1965,183.3375,,,
1966,183.3983333,,,
1967,183.385,,,
1968,183.49,,,
1969,183.5108333,,,
1970,183.4508333,,,
1971,183.5825,,,
1972,183.5533333,,,
1973,183.5958333,,,
1974,183.615,,,
1975,183.5941667,,,
1976,183.4841667,,,
1977,183.3666667,,,
1978,183.4383333,,,
1979,183.4941667,,,
1980,183.4358333,,,
1981,183.36,,,
1982,183.4208333,,,
1983,183.5675,,,
1984,183.54,,,
1985,183.6683333,,,
1986,183.7325,,,
1987,183.4683333,,,
1988,183.3175,,,
1989,183.4025,,,
1990,183.2575,,,
1991,183.345,,,
1992,183.3975,,,
1993,183.4525,,,
1994,183.4425,,,
1995,183.3433333,,,
1996,183.55,,,
1997,183.5966667,,,
1998,183.3241667,,,
1999,183.265,,,
2000,183.18,,,
2001,183.2016667,,,
2002,183.285,,,
2003,183.1875,,,
2004,183.2983333,,,
2005,183.3291667,,,
2006,183.1833333,,,
2007,182.9833333,,,
2008,183.2116667,,,
2009,183.2625,,,
2010,183.145,,,
2011,183.0934167,,,
2012,183.1008333,,,
2013,183.22,,,
2014,183.51,,,
2015,183.57,,,
